scan_date,city_id,city,listing_id,listing_desc,url,review_count,by,price_from,strike_thru_price,is_special_offer
2018-07-29,g312741,Buenos Aires,d11446055,"Buenos Aires’ neighborhoods each have a distinctive character from the historic barrios of San Telmo and La Boca, to the beautiful parks and plazas of Palermo and Recoleta, and the modern skyscrapers of Puerto... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d11446055-Small_Group_City_Tour_of_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,276,Signature Tours,29.5,0, 
2018-07-29,g312741,Buenos Aires,d11451016,"Buenos Aires is famous as the birthplace of the tango, and attending a live show is an unforgettable experience for visitors to the city. This tour includes hotel pickup and drop-off, so you don’t have to worry... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d11451016-Piazzolla_Tango_Show_and_Dinner_in_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,98,NA,40.46,0, 
2018-07-29,g312741,Buenos Aires,d11452356,"There’s so much to see and do in Buenos Aires, and this city sightseeing tour helps first-time visitors get their bearings with visits to all the top sights. Drive through atmospheric neighborhoods including... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d11452356-Buenos_Aires_Sightseeing_Tour-Buenos_Aires_Capital_Federal_District.html,385,Tangol,16.23,0, 
2018-07-29,g312741,Buenos Aires,d11452421,"No visit to Buenos Aires is complete without seeing a tango show. Guarantee your ticket at the often sold-out La Ventana, one of the city’s most prestigious dance venues. Convenient hotel pickup and drop-off means... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d11452421-La_Ventana_Tango_Show_with_Optional_Dinner_in_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,55,Tangol,80.0,0, 
2018-07-29,g312741,Buenos Aires,d11463359,"Watch a traditional tango show in Buenos Aires during this evening outing at El Viejo Almacen. Choose from an optional dinner and/or VIP access to this venue, founded by Edmundo Rivero in 1969. Sip unlimited drinks... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d11463359-El_Viejo_Almacen_Tango_Show_with_Optional_VIP_or_Traditional_Dinner-Buenos_Aires_Capital_Federal_District.html,15,El Viejo Almacen,50.0,0, 
2018-07-29,g312741,Buenos Aires,d11452414,"See the meandering canals, stilted houses, and lush islands of the Tigre Delta, a short drive north of Buenos Aires, on a guided tour. Choose from among a full-day or half-day itinerary with morning and afternoon... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d11452414-Tigre_Delta_Day_Trip_from_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,307,Tangol,42.0,0, 
2018-07-29,g312741,Buenos Aires,d11446348,"El Ombu de Areco Estancia is a traditional ranch located in San Antonio de Areco, at the heart of gaucho (cowboy) country and a 1.5-hour drive from Buenos Aires. On this tour, spend an entire day at the estancia,... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d11446348-Gaucho_Day_Tour_Ranch_in_San_Antonio_de_Areco_from_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,89,Tours Buenos Aires,167.0,0, 
2018-07-29,g312741,Buenos Aires,d12463681,"Get a taste of Argentina's local cuisine with this 3.5-hour interactive dining experience in Buenos Aires. Begin with a Malbec-based cocktail, then learn how to make wine-based cocktails under the guidance of a... ",https://www.tripadvisor.com/AttractionProductDetail-g312741-d12463681-The_Argentine_Experience_Empanada_Making_Steak_Wine_Alfajores_and_Mate-Buenos_Aires_Capital_Federal_District.html,151,NA,105.0,0, 
2018-07-29,g312741,Buenos Aires,d11477211,Explore Buenos Aires while traveling like a local on this half-day bike tour of the Argentine capital. Pedal around the city on this tour that provides all the necessary equipment. Let your guide lead the way so you... ,https://www.tripadvisor.com/AttractionProductDetail-g312741-d11477211-Bike_Tour_Half_Day_City_Highlights_of_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,28,Bike Tours,45.0,0, 
2018-07-29,g312741,Buenos Aires,d11451025,Enjoy a Super Saver full-day tour of all the highlights of vibrant Buenos Aires. Begin the morning with a restful boat ride in the Tigre Delta that lets you see a different view of Argentina. Then transfer to a... ,https://www.tripadvisor.com/AttractionProductDetail-g312741-d11451025-Buenos_Aires_Super_Saver_City_Sightseeing_Tour_Tango_Show_with_Dinner_and_Tigre_Delta_River_Cruise-Buenos_Aires_Capital_Federal_District.html,156,NA,134.85,164.22,Special Offer
